Model,R²,MAE,MSE,RMSE
CatBoost,0.6072625491284193,63.88264573856145,37887.26632482379,194.64651634391967
RandomForest,0.6058798260187509,63.2436382465117,38375.562350622735,195.89681557039853
XGBoost,0.6040760278701782,64.61769104003906,37463.234375,193.55421559604432
LightGBM,0.60191127279106,62.88450903534883,38606.21409339078,196.48464085874696
DecisionTree,0.4092247564236942,77.15083417394605,64803.873579896666,254.56604954293624
