Model,Avg Accuracy,Min Accuracy,Max Accuracy
DecisionTree,0.37192118226600984,0.27586206896551724,0.5123152709359606
XGBoost,0.3688423645320197,0.3054187192118227,0.49261083743842365
CatBoost,0.36637931034482757,0.32019704433497537,0.5270935960591133
RandomForest,0.3633004926108374,0.29064039408866993,0.47783251231527096
LightGBM,0.355295566502463,0.27586206896551724,0.4876847290640394
